0,1,Year,Language,Rank[a],Title,Production company,Distributor,Worldwide gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
,,2025,hindi,,120 Bahadur,,,,[145],N O V,21.0,Razneesh ‘Razy’ Ghai,Farhan AkhtarRaashii Khanna,"Excel Entertainment, Trigger Happy Studios"
,,2025,hindi,,Mastiii 4,,,,[146],N O V,21.0,Milap Zaveri,Riteish DeshmukhVivek OberoiAftab ShivdasaniArshad WarsiTusshar KapoorShreya SharmaElnaaz NorouziRuhi Singh,"Balaji Motion Pictures, Waveband Production, Maruti International"
,,2025,hindi,,Tere Ishk Mein,,,,[147],N O V,28.0,Aanand L. Rai,DhanushKriti Sanon,"T-Series Films, Colour Yellow Productions"
,,2025,hindi,,Gustaakh Ishq,,,,[148],N O V,28.0,Vibhu Puri,Naseeruddin ShahFatima Sana ShaikhVijay VarmaSharib Hashmi,Stage 5 Productions
,,2025,hindi,,Me No Pause Me Play,,,,[149],N O V,28.0,Samar K Mukharjee,Kamya PanjabiDeepshikha NagpalManoj Kumar SharmaAman VermaSudha Chandran,"Digi Filming, Mirrro Films"
,,2025,hindi,,Kaisi Ye Paheli,,,,[150],N O V,28.0,Ananyabrata Chakravorty,Rajit KapoorSukant GoelChittaranjan GiriSadhana Singh,Take Pictures
,,2025,hindi,,Dhurandhar,,,,[151],D E C,5.0,Aditya Dhar,Ranveer SinghAkshaye KhannaSanjay DuttArjun RampalR. MadhavanSara ArjunRakesh Bedi,"Jio Studios, B62 Studios"
,,2025,hindi,,Kis Kisko Pyaar Karoon 2,,,,[152],D E C,12.0,Anukalp Goswami,Kapil SharmaManjot SinghHira WarinaTridha ChoudhuryParul GulatiAyesha Khan,"Star Studio18, Venus Worldwide Entertainment, Abbas-Mustan Film Production"
,,2025,hindi,,Saali Mohabbat,,,,[153],D E C,12.0,Tisca Chopra,Radhika ApteDivyennduAnshumaan PushkarAnurag Kashyap,"Stage 5 Prdoction, Jio Studios, ZEE5"
,,2025,hindi,,The Great Shamsuddin Family,,,,[154],D E C,12.0,Anusha Rizvi,Kritika KamraShreya DhanwantharySheeba ChaddhaFarida JalalPurab Kohli,"Star Studio18, Third World Films Production, JioHotstar"
